Jop title,Company name,Location,Skills,links
Senior Data Analyst,Al Watania Poultry,"6th of October, Giza, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · males_only · Data Analysis · Microsoft Office · Microsoft Excel · Computer Skills · ERP · Analysis · Information Technology (IT) · Computer Science · Accounting/Finance · Business Development,https://wuzzuf.net/jobs/p/ndO0VTipnEds-Senior-Data-Analyst-Al-Watania-Poultry-Giza-Egypt?o=24&l=sp&t=sj&a=data analysis|search-v3|hpb
Research Analyst,MTS,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Analysis · Analytics · Business Analysis · Business Research · Economics · English · Market Research · Microsoft Office · Political Science · Research,https://wuzzuf.net/jobs/p/UMpZwCutFT8T-Research-Analyst-MTS-Cairo-Egypt?o=25&l=sp&t=sj&a=data analysis|search-v3|hpb
Internal Auditor,Elhelow Group,"New Cairo, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Finance · Financial Analysis · Auditing · Accounting · Analysis · Financial Data Analysis · Accounting/Finance · Analyst/Research,https://wuzzuf.net/jobs/p/Phbpj2emJB2Z-Internal-Auditor-Elhelow-Group-Cairo-Egypt?o=26&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Data Analyst,StatsBomb,"Nasr City, Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Data Analysis · Analysis · Data · Analytical · Power BI · Tableau · BI · Data Visualization · Information Technology (IT) · English,https://wuzzuf.net/jobs/p/GrHj1Ak7zb9Y-Senior-Data-Analyst-StatsBomb-Cairo-Egypt?o=27&l=sp&t=sj&a=data analysis|search-v3|hpb
Accounts Payable Accountant,El Abd Group,"Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · males_only · Accounting · Finance · Accounts Payable · Payable · Financial Analysis · Accounting Software · General Accounting · Data Entry · Software · Accounting/Finance,https://wuzzuf.net/jobs/p/ufsUp5S0vlIv-Accounts-Payable-Accountant-El-Abd-Group-Cairo-Egypt?o=28&l=sp&t=sj&a=data analysis|search-v3|hpb
Associate Business Research,CRIF EGYPT,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Research · Analysis · Market Research · Operations · English · Finance · Egyptian Market · Computer Skills · Microsoft Office · Bulk Data,https://wuzzuf.net/jobs/p/yRA89aKCUpP9-Associate-Business-Research-CRIF-EGYPT-Cairo-Egypt?o=29&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Stock Controller,Andalusia Group,"Maadi, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Accounting · Commerce · Quality Control · Stock Control · Stock Controlling · Stocks · Stock · Finance Analysis · Finance · Financial Data Analysis,https://wuzzuf.net/jobs/p/ay4Oqcq0Khll-Senior-Stock-Controller-Andalusia-Group-Cairo-Egypt?o=30&l=sp&t=sj&a=data analysis|search-v3|hpb
Sr.Data Scientist,B.Tech,"Nasr City, Cairo, Egypt ",Full timeExperienced · 5 - 8 Yrs of Exp · Computer Science · Data Science · Information Technology (IT) · Mathematics · Data · MySQL · Science · SQL · Python · Statistics,https://wuzzuf.net/jobs/p/STNm9exAZfyx-SrData-Scientist-B-Tech-Cairo-Egypt?o=31&l=sp&t=sj&a=data analysis|search-v3|hpb
Purchasing Specialist,Confidential -,"New Cairo, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Administration · Business Administration · Communication · Communication skills · Logistics · Negotiation · Procurement · Supply Chain · Purchasing · Manufacturing,https://wuzzuf.net/jobs/p/k6XspYVHttDw-Purchasing-Specialist-Cairo-Egypt?o=32&l=sp&t=sj&a=data analysis|search-v3|hpb
Quality Assurance Specialist,Wham Clinics ,"Sheikh Zayed, Giza, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Administration · Project coordinator · Analysis · Communication · Coordinator · Data Analysis · Management · Project · Project Management · Quality Assurance,https://wuzzuf.net/jobs/p/ZFh7vwgsXdou-Quality-Assurance-Specialist-Wham-Clinics-Giza-Egypt?o=33&l=sp&t=sj&a=data analysis|search-v3|hpb
